lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,hu_moment0,hu_moment1,hu_moment2,hu_moment3,hu_moment4,hu_moment5,hu_moment6,mean_edge,std_dev_edge
8.8e-05,0.000976,0.0,0.00724,0.0,0.010624,0.0,0.006124,0.974948,0.0007589249338222669,6.764628945511721e-08,1.3192505044025309e-11,1.275573923962543e-12,2.788382444378848e-24,1.316839177642315e-16,-4.427821063104736e-24,41.94625829791507,189.8209709563319
6e-05,0.00124,0.0,0.011756,0.0,0.020432,0.0,0.010992,0.95552,0.0008598477849760614,7.469255628930783e-08,1.4777695794525253e-10,3.803192656205755e-12,-8.615201800730136e-23,-8.13306404623644e-16,2.6591401364344474e-23,70.87383859476773,243.66891020982308
0.000168,0.0017,0.0,0.013192,0.0,0.024468,0.0,0.012424,0.948048,0.0008576007290348354,3.9825423767915716e-09,2.1410835530278518e-10,6.211675962542257e-13,3.926485704307005e-24,3.7554021518706176e-17,-5.991624176955423e-24,83.5427389129297,261.7539989664457
0.000108,0.001024,0.0,0.010728,0.0,0.021524,0.0,0.010512,0.956104,0.0010302294849016242,1.703970140111733e-08,1.6112967661839287e-10,5.565399433125236e-11,5.269085521908269e-21,3.756700577479203e-15,-1.1139304020421142e-22,68.99039200855763,241.12948805674006
0.00012,0.00126,0.0,0.0116,0.0,0.02,0.0,0.010652,0.956368,0.0009286967907123655,5.7163487358424665e-08,1.0291090180677138e-10,1.1430811365323152e-10,5.354954227890436e-21,2.611695783764107e-14,1.118172974054007e-20,68.98625938454342,240.21096980805953
0.000212,0.00258,0.0,0.023176,0.0,0.0373,0.0,0.020556,0.916176,0.001226617120532092,1.861836132333027e-07,1.516677068118649e-10,2.6938895347158712e-11,-1.721549756711009e-21,-1.681668157658066e-15,-3.63248771888621e-23,137.7605355438414,325.4327101670544
0.000168,0.00194,0.0,0.017156,0.0,0.028708,0.0,0.016168,0.93586,0.0009383174451539698,4.6675429240671416e-08,2.360178286436452e-10,1.259922389960694e-11,6.7979561297337755e-22,4.391936086194293e-16,-9.957453518806704e-23,103.53812719586006,288.0396427868461
0.000108,0.000824,0.0,0.01768,0.0,0.03822,0.0,0.01912,0.924048,0.001254481757690452,2.1066744553270634e-07,8.130126661265128e-11,1.4638381023790743e-13,4.685532451119313e-25,6.156701117375321e-17,-1.8835911285897867e-25,117.03142310806543,307.7299465526567
0.0001,0.002508,0.0,0.03504,0.0,0.050444,0.0,0.030812,0.881096,0.0011214228670732957,1.0440423543048114e-08,4.810287387106627e-12,3.015411795588584e-11,-2.1739947838828442e-22,1.7181362744132763e-15,-2.9090750478735635e-22,197.79800066502685,377.0417071530921
8.4e-05,0.0008,0.0,0.006864,0.0,0.013912,0.0,0.006912,0.971428,0.001027466162288439,1.3446742111963613e-07,4.5447088774557807e-11,9.523813350355163e-11,3.664597005124031e-21,3.0593277937123515e-14,5.082290835686406e-21,43.141860173399564,192.54523910182468
0.000244,0.002388,0.0,0.017224,0.0,0.030168,0.0,0.017476,0.9325,0.0012403534117002705,4.768482173194478e-08,2.122467474398097e-10,2.0232587717302104e-10,4.0736793126704104e-20,4.404218789102634e-14,-9.920606581326601e-21,104.81476764901919,286.8294944434448
7.6e-05,0.00072,0.0,0.006524,0.0,0.010564,0.0,0.006324,0.975792,0.0006880869077058181,4.8160662466293777e-08,1.6287041810619831e-12,2.8318415931820972e-15,1.8420534775931002e-28,4.754293769578187e-19,-5.527555998169667e-29,39.977513715405166,185.94759045799594
4e-05,0.000248,0.0,0.004316,0.0,0.01158,0.0,0.004244,0.979572,0.0012867592126757778,6.6635045135695805e-09,5.42270997619235e-12,8.121542561506714e-12,-3.589434506924143e-23,2.307184583757513e-16,4.020573476345442e-23,28.953601248716005,161.34788556014718
8e-06,0.000288,0.0,0.003172,0.0,0.007624,0.0,0.003276,0.985632,0.0008519745199684367,2.569852427636109e-08,3.1105793369598857e-12,7.737917962864959e-13,4.325894592358359e-25,-4.7561059635645513e-17,-1.1198353267163395e-24,18.811326279183465,129.32648763350105
0.00014,0.00164,0.0,0.016728,0.0,0.029372,0.0,0.015636,0.936484,0.00117690047653575,6.643388820864283e-08,2.6219084231741036e-10,1.5466814240447767e-10,2.2232992783527845e-20,3.2659600127954204e-14,-2.181288895845685e-20,99.61745148575751,283.6731868885086
0.00014,0.00128,0.0,0.014408,0.0,0.023624,0.0,0.013856,0.946692,0.0008446574870387524,2.3057432355936818e-08,2.030477224886322e-11,1.414043839420266e-11,1.4523630149042495e-22,1.842849886134983e-15,1.9056838847472347e-22,87.58229113613932,269.17412186045027
